price_id,item,location,year,auth_id,price,unit
,Endura (2x),ID,,UCD,5.55,oz
,Dithane F45 Rainshield,ID,,UCD,6.9,qt
,Leverage 2.7,ID,,UCD,2.4,oz
,Reglone,ID,,UCD,24.65,qt
,Potato Seed,ID,,UCD,16.75,cwt
,Labor (Irrigation),ID,,UCD,11.05,hr
,Labor (other),ID,,UCD,9.86,hr
,Water Assesment,ID,,UCD,38.2,acre
,Custom Air Spray,ID,,UCD,11.4,acre
,Fumigation,ID,,UCD,36,acre
,Fees Assesment,ID,,UCD,0.16,cwt
,Irrigation,ID,,UCD,2.3,acin
,Storage Operating Costs,ID,,UCD,0.78,cwt
,Storage Repairs,ID,,UCD,20.2,ac
,Sugarbeet,ID,,UCD,45,ton
,Dry Nitrogen,ID,,UCD,0.5,lb
,Liquid Nitrogen,ID,,UCD,0.56,lb
,Dry P2O5,ID,,UCD,0.46,lb
,K20,ID,,UCD,0.69,lb
,Micronutrients,ID,,UCD,10,ac
,Telone II,ID,,UCD,11.9,gal
,Poncho Beta Seed Treatment,ID,,UCD,49.5,unit
,Roundup Original Max,ID,,UCD,0.5,oz
,AMS,ID,,UCD,0.4,lb
,Eptam 7EC,ID,,UCD,4.95,pt
,Treflan 4HFP,ID,,UCD,3.1,pt
,Headline,ID,,UCD,2.75,oz
,Gen 25WG,ID,,UCD,7.2,oz
,Sugarbeet,ID,,UCD,208,unit
,Labor (non-machine),ID,,UCD,9.86,hr
,Fuel - Gas,ID,,UCD,2.3,gal
,Lubricants,ID,,UCD,10.95,acre
,Custom Fertilize,ID,,UCD,8.5,acre
,Custom Fumigate - Deep,ID,,UCD,40,acre
,Consultant,ID,,UCD,16,acre
,Custom Air Spray - 5G,ID,,UCD,8.5,acre
,Custom Sidedress,ID,,UCD,17,acre
,Water,ID,,UCD,46,acre
,Crop Insurance,ID,,UCD,30,acre
,Nitrogen (dry),ID,,UCD,0.61,lb
,Phosphorous (dry),ID,,UCD,0.64,lb
,Sulfur (dry),ID,,UCD,0.44,lb
,Brox M,ID,,UCD,0.39,oz
,Excel 90,ID,,UCD,0.2,oz
,Osprey,ID,,UCD,3.7,oz
,Starane-Salvo,ID,,UCD,0.49,oz
,Wheat,ID,,UCD,0.2,lb
,Labor (Machine),ID,,UCD,15.6,hr
,Fuel - Diesel,ID,,UCD,2.05,gal
,Maintenance,ID,,UCD,10.63,acre
,Repair,ID,,UCD,2.36,acre
,Sprayer,ID,,UCD,1.75,acre
,Riper Shooter,ID,,UCD,2.5,acre
