FIPS code ,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,Average hourly pay ,lq_disclosure_code,lq_annual_avg_estabs_count,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay
01035,1035,5,111,75,0,2009,A,N,"Conecuh County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.81,0,0,0,0,0,0
01039,1039,5,111,75,0,2009,A,,"Covington County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,43,851737,374260,3697,380,19770,9.4729276473,,0.89,0.83,1.01,0.78,0.32,1.21,1.21
01043,1043,5,111,75,0,2009,A,,"Cullman County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,35,545235,293654,2172,297,15431,7.3938667944,,0.58,0.33,0.3,0.28,0.11,0.89,0.89
01045,1045,5,111,75,0,2009,A,N,"Dale County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.46,0,0,0,0,0,0
01047,1047,5,111,75,0,2009,A,,"Dallas County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,48,1032538,419391,5730,415,21586,10.3430761859,,1.14,0.86,1.09,0.84,0.39,1.27,1.27
01049,1049,5,111,75,0,2009,A,N,"DeKalb County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,0.52,0,0,0,0,0,0
01051,1051,5,111,75,0,2009,A,N,"Elmore County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,0.5,0,0,0,0,0,0
01053,1053,5,111,75,0,2009,A,,"Escambia County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,27,709367,258322,2489,499,25952,12.4350742693,,1.25,0.53,0.81,0.58,0.27,1.49,1.49
01059,1059,5,111,75,0,2009,A,N,"Franklin County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.35,0,0,0,0,0,0
01061,1061,5,111,75,0,2009,A,,"Geneva County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,8,49,1183920,439425,6313,464,24121,11.5577383805,,3.28,2.25,3.64,2.08,1.91,1.61,1.61
01063,1063,5,111,75,0,2009,A,N,"Greene County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,1.35,0,0,0,0,0,0
01065,1065,5,111,75,0,2009,A,N,"Hale County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,1.55,0,0,0,0,0,0
01067,1067,5,111,75,0,2009,A,,"Henry County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,10,58,1478596,551481,5291,495,25715,12.3215141351,,5.98,4.09,5.78,3.98,2.19,1.43,1.43
01069,1069,5,111,75,0,2009,A,,"Houston County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,11,120,2173759,950296,14924,348,18102,8.673694298,,0.77,0.62,0.6,0.51,0.43,0.97,0.97
01071,1071,5,111,75,0,2009,A,N,"Jackson County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.43,0,0,0,0,0,0
01073,1073,5,111,75,0,2009,A,N,"Jefferson County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.02,0,0,0,0,0,0
01077,1077,5,111,75,0,2009,A,N,"Lauderdale County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,0,0,0,0,0,0,0,N,0.52,0,0,0,0,0,0
01079,1079,5,111,75,0,2009,A,N,"Lawrence County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,10,0,0,0,0,0,0,0,N,4.79,0,0,0,0,0,0
01081,1081,5,111,75,0,2009,A,N,"Lee County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,0,0,0,0,0,0,0,N,0.32,0,0,0,0,0,0
01083,1083,5,111,75,0,2009,A,,"Limestone County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,19,145,3423910,1291848,19636,454,23613,11.3143267849,,3.06,1.71,1.95,1.73,1.15,1.14,1.14
01085,1085,5,111,75,0,2009,A,,"Lowndes County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,12,258584,163876,3724,420,21852,10.4705318639,,4.71,1.01,1.18,1.52,0.96,1.18,1.18
01087,1087,5,111,75,0,2009,A,N,"Macon County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,2.47,0,0,0,0,0,0
01089,1089,5,111,75,0,2009,A,,"Madison County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,9,70,1647433,650240,6868,455,23676,11.344513656,,0.22,0.09,0.08,0.09,0.06,0.87,0.87
01095,1095,5,111,75,0,2009,A,N,"Marshall County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.1,0,0,0,0,0,0
01097,1097,5,111,75,0,2009,A,,"Mobile County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,36,604,15930221,5029508,47066,507,26385,12.6425491136,,0.78,0.88,1.1,0.75,0.34,1.24,1.24
01099,1099,5,111,75,0,2009,A,N,"Monroe County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0
01101,1101,5,111,75,0,2009,A,,"Montgomery County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,6,113,1953642,968621,9193,334,17353,8.3148059415,,0.2,0.21,0.17,0.22,0.11,0.8,0.8
01103,1103,5,111,75,0,2009,A,N,"Morgan County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.08,0,0,0,0,0,0
01105,1105,5,111,75,0,2009,A,N,"Perry County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,2.6,0,0,0,0,0,0
01107,1107,5,111,75,0,2009,A,N,"Pickens County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,1.21,0,0,0,0,0,0
01109,1109,5,111,75,0,2009,A,N,"Pike County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.29,0,0,0,0,0,0
01113,1113,5,111,75,0,2009,A,N,"Russell County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.47,0,0,0,0,0,0
01115,1115,5,111,75,0,2009,A,,"St. Clair County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,6,61,1246571,753340,8515,390,20297,9.7254432199,,0.93,0.94,1.16,1.22,0.72,1.22,1.22
01117,1117,5,111,75,0,2009,A,,"Shelby County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,53,2085964,449394,3960,763,39670,19.0081456636,,0.17,0.18,0.31,0.14,0.07,1.71,1.71
01121,1121,5,111,75,0,2009,A,,"Talladega County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,28,711579,244836,3081,498,25876,12.3986583613,,0.61,0.26,0.32,0.25,0.17,1.27,1.27
01125,1125,5,111,75,0,2009,A,,"Tuscaloosa County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,7,414991,72540,537,1114,57906,27.7460469574,,0.24,0.02,0.06,0.02,0.01,2.77,2.77
01999,1999,5,111,75,0,2009,A,N,"Unknown Or Undefined, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.02,0,0,0,0,0,0
02000,2000,5,111,55,0,2009,A,N,Alaska -- Statewide,Private,Crop production,"State, NAICS 3-digit -- by ownership sector",All establishment sizes,24,0,0,0,0,0,0,0,N,0.24,0,0,0,0,0,0
02020,2020,5,111,75,0,2009,A,,"Anchorage Borough, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,6,60,1699428,1500251,31724,548,28482,13.6473406804,,0.16,0.1,0.1,0.09,0.08,1.06,1.06
02090,2090,5,111,75,0,2009,A,N,"Fairbanks North Star Borough, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,0,0,0,0,0,0,0,N,0.38,0,0,0,0,0,0
02110,2110,5,111,75,0,2009,A,N,"Juneau Borough, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.2,0,0,0,0,0,0
02122,2122,5,111,75,0,2009,A,,"Kenai Peninsula Borough, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,8,132405,132405,3258,336,17460,8.3660757068,,0.34,0.11,0.08,0.07,0.07,0.8,0.8
02170,2170,5,111,75,0,2009,A,,"Matanuska-Susitna Borough, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,7,51,784835,630036,14863,298,15490,7.4221370388,,0.82,0.65,0.51,0.31,0.3,0.79,0.79
02240,2240,5,111,75,0,2009,A,N,"Southeast Fairbanks Census Area, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,1.65,0,0,0,0,0,0
02290,2290,5,111,75,0,2009,A,N,"Yukon-Koyukuk Census Area, Alaska",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.79,0,0,0,0,0,0
04000,4000,3,111,55,0,2009,A,,Arizona -- Statewide,Local Government,Crop production,"State, NAICS 3-digit -- by ownership sector",All establishment sizes,3,186,5833658,674070,12050,604,31420,15.0551030187,,18.16,19.46,19.65,7.45,5.08,1.01,1.01
04000,4000,5,111,55,0,2009,A,,Arizona -- Statewide,Private,Crop production,"State, NAICS 3-digit -- by ownership sector",All establishment sizes,470,8199,226573638,81131881,2225135,531,27633,13.2405366555,,0.67,0.83,0.99,0.91,1.4,1.19,1.2
04003,4003,5,111,75,0,2009,A,,"Cochise County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,29,271,6285966,2631759,65496,446,23203,11.1178725443,,2.48,1.73,1.85,2.42,3.39,1.06,1.07
04005,4005,5,111,75,0,2009,A,N,"Coconino County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.06,0,0,0,0,0,0
04009,4009,5,111,75,0,2009,A,,"Graham County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,14,830,27019902,7551253,113574,626,32544,15.5936751318,,5,23.01,40.72,31.26,25.72,1.77,1.77
04011,4011,5,111,75,0,2009,A,N,"Greenlee County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,1.87,0,0,0,0,0,0
04012,4012,3,111,75,0,2009,A,N,"La Paz County, Arizona",Local Government,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,2514.86,0,0,0,0,0,0
04012,4012,5,111,75,0,2009,A,N,"La Paz County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,21,0,0,0,0,0,0,0,N,12.42,0,0,0,0,0,0
04013,4013,5,111,75,0,2009,A,,"Maricopa County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,167,2946,76592595,28052540,477349,500,25995,12.4556780067,,0.38,0.44,0.47,0.44,0.44,1.07,1.07
04015,4015,3,111,75,0,2009,A,N,"Mohave County, Arizona",Local Government,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,225.14,0,0,0,0,0,0
04015,4015,5,111,75,0,2009,A,N,"Mohave County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.11,0,0,0,0,0,0
04017,4017,5,111,75,0,2009,A,N,"Navajo County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,0.34,0,0,0,0,0,0
04019,4019,5,111,75,0,2009,A,,"Pima County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,19,429,11536961,3521856,41246,518,26914,12.8960229995,,0.2,0.3,0.37,0.3,0.21,1.24,1.24
04021,4021,3,111,75,0,2009,A,N,"Pinal County, Arizona",Local Government,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,307.38,0,0,0,0,0,0
04021,4021,5,111,75,0,2009,A,,"Pinal County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,97,797,19465298,7945479,111204,470,24421,11.7014853857,,7.01,3.7,4.38,5.35,4.35,1.18,1.18
04023,4023,5,111,75,0,2009,A,N,"Santa Cruz County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,0,0,0,0,0,0,0,N,0.69,0,0,0,0,0,0
04025,4025,5,111,75,0,2009,A,,"Yavapai County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,11,94,2278754,798245,17729,468,24350,11.6674652611,,0.41,0.41,0.56,0.41,0.55,1.37,1.37
04027,4027,5,111,75,0,2009,A,N,"Yuma County, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,99,0,0,0,0,0,0,0,N,6.37,0,0,0,0,0,0
04999,4999,5,111,75,0,2009,A,N,"Unknown Or Undefined, Arizona",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,0.09,0,0,0,0,0,0
05000,5000,5,111,55,0,2009,A,,Arkansas -- Statewide,Private,Crop production,"State, NAICS 3-digit -- by ownership sector",All establishment sizes,757,3718,86507048,40831529,1897072,447,23265,11.1475802587,,1.87,0.79,0.96,0.77,1.04,1.21,1.21
05001,5001,5,111,75,0,2009,A,,"Arkansas County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,17,41,1621029,484412,13817,768,39943,19.1389554384,,4.61,1.01,2.31,1,0.8,2.32,2.32
05003,5003,5,111,75,0,2009,A,,"Ashley County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,16,67,1265080,649824,17848,362,18812,9.0138955438,,5.7,2.11,2.01,1.73,0.93,0.95,0.95
05007,5007,5,111,75,0,2009,A,N,"Benton County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.08,0,0,0,0,0,0
05009,5009,5,111,75,0,2009,A,N,"Boone County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.2,0,0,0,0,0,0
05011,5011,5,111,75,0,2009,A,N,"Bradley County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,1.05,0,0,0,0,0,0
05017,5017,5,111,75,0,2009,A,,"Chicot County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,28,140,3108218,1470572,70182,428,22281,10.6760900815,,14.12,9.71,15.49,10.7,11.24,1.6,1.6
05021,5021,5,111,75,0,2009,A,,"Clay County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,48,189,3580979,2052499,155264,364,18914,9.0627695256,,23.54,11.35,15.15,10.85,14.32,1.33,1.33
05027,5027,5,111,75,0,2009,A,N,"Columbia County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.28,0,0,0,0,0,0
05029,5029,5,111,75,0,2009,A,,"Conway County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,39,2203455,467437,14256,1087,56499,27.0718735026,,1.43,1.37,4.67,1.5,1.29,3.41,3.41
05031,5031,5,111,75,0,2009,A,,"Craighead County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,28,114,2773561,1314205,51272,468,24347,11.6660277911,,2.2,0.66,0.93,0.68,0.7,1.4,1.4
05033,5033,5,111,75,0,2009,A,,"Crawford County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,8,125,2545362,1497283,72021,393,20431,9.7896502156,,1.28,1.55,2.05,1.42,2.46,1.32,1.32
05035,5035,5,111,75,0,2009,A,,"Crittenden County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,36,214,5692162,2516264,139541,512,26640,12.764734068,,5.69,3.22,5.06,3.33,4.46,1.57,1.58
05037,5037,5,111,75,0,2009,A,,"Cross County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,25,162,2706839,1606473,70448,321,16717,8.0100622904,,9.26,7.66,8.49,7.34,7.38,1.11,1.11
05039,5039,5,111,75,0,2009,A,N,"Dallas County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.76,0,0,0,0,0,0
05041,5041,5,111,75,0,2009,A,,"Desha County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,35,173,4113499,1932495,86801,457,23777,11.3929084811,,14.51,9.9,16.31,10.84,11.22,1.65,1.65
05043,5043,5,111,75,0,2009,A,N,"Drew County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,11,0,0,0,0,0,0,0,N,4.24,0,0,0,0,0,0
05045,5045,5,111,75,0,2009,A,N,"Faulkner County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,0.23,0,0,0,0,0,0
05047,5047,5,111,75,0,2009,A,,"Franklin County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,34,797946,311657,4732,448,23298,11.1633924293,,1.89,1.91,2.65,1.64,0.83,1.38,1.38
05051,5051,5,111,75,0,2009,A,N,"Garland County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.13,0,0,0,0,0,0
05055,5055,5,111,75,0,2009,A,,"Greene County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,18,76,1393913,813428,34700,351,18241,8.7402970771,,4.08,1.27,1.49,1.27,0.91,1.17,1.17
05057,5057,5,111,75,0,2009,A,N,"Hempstead County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,1.25,0,0,0,0,0,0
05059,5059,5,111,75,0,2009,A,N,"Hot Spring County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.34,0,0,0,0,0,0
05063,5063,5,111,75,0,2009,A,N,"Independence County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,0,0,0,0,0,0,0,N,0.66,0,0,0,0,0,0
05067,5067,5,111,75,0,2009,A,,"Jackson County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,35,180,3877361,2084958,133873,415,21581,10.3406804025,,14.77,8.32,10.96,9.43,14.75,1.32,1.32
05069,5069,5,111,75,0,2009,A,,"Jefferson County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,22,94,2646762,1043213,48020,541,28132,13.4796358409,,2.19,0.7,1.04,0.87,1.06,1.47,1.47
05071,5071,5,111,75,0,2009,A,,"Johnson County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,3,6,84365,66242,2074,286,14888,7.1336847149,,1.31,0.17,0.16,0.19,0.21,1.02,1.02
05073,5073,5,111,75,0,2009,A,,"Lafayette County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,18,337140,203479,7417,367,19083,9.1437470053,,4.56,3.2,4.24,3.46,4.13,1.35,1.35
05075,5075,5,111,75,0,2009,A,,"Lawrence County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,17,59,1425127,642110,40655,463,24087,11.5414470532,,8.11,3.55,6.19,3.98,5.38,1.74,1.74
05077,5077,5,111,75,0,2009,A,,"Lee County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,24,164,3095556,1737497,102758,363,18875,9.0440824149,,16.24,18.86,23.14,23.36,30.47,1.23,1.23
05079,5079,5,111,75,0,2009,A,,"Lincoln County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,13,48,1520363,542525,15473,605,31456,15.0723526593,,10.27,3.97,8.08,5.9,4.12,2.02,2.02
05081,5081,5,111,75,0,2009,A,N,"Little River County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,1.61,0,0,0,0,0,0
05083,5083,5,111,75,0,2009,A,N,"Logan County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.4,0,0,0,0,0,0
05085,5085,5,111,75,0,2009,A,,"Lonoke County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,42,208,6253437,2366476,66210,579,30089,14.417345472,,6.66,3.91,7.67,4.1,4.17,1.97,1.97
05087,5087,5,111,75,0,2009,A,N,"Madison County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.82,0,0,0,0,0,0
05091,5091,5,111,75,0,2009,A,,"Miller County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,31,746963,326831,14048,461,23967,11.4839482511,,1.23,0.6,0.83,0.52,0.62,1.36,1.36
05093,5093,5,111,75,0,2009,A,,"Mississippi County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,67,392,8184922,4058174,208787,401,20871,10.0004791567,,11.25,5.25,5.79,4.5,5.2,1.1,1.1
05095,5095,5,111,75,0,2009,A,,"Monroe County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,23,78,1782679,911679,28773,438,22758,10.9046478198,,14.54,8.16,14.22,9.4,6.66,1.73,1.73
05105,5105,5,111,75,0,2009,A,N,"Perry County, Arkansas",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,1.26,0,0,0,0,0,0
